GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620230.00,CT,Montréal,0.113318871799827,1988,958,955,131130,486,1685,360
4620231.00,CT,Montréal,0.10528503519845,1862,847,830,113238,481,1495,410
4620232.00,CT,Montréal,0.372827933798552,2768,1282,1270,185964,495,2350,495
4620233.00,CT,Montréal,0.109870756498933,2024,980,965,149304,497,1710,320
4620234.00,CT,Montréal,0.147744983244181,2358,1159,1150,117847,467,1990,265
4620235.00,CT,Montréal,0.116384839806318,1924,973,965,119189,494,1675,265
4620236.00,CT,Montréal,0.110691498176157,1712,898,895,109608,501,1480,295
4620237.00,CT,Montréal,0.226597161786437,3289,1558,1545,117711,543,2820,605
4620238.00,CT,Montréal,0.16582126320672,2338,1225,1215,143021,490,2045,360
4620239.00,CT,Montréal,0.551229982364893,4482,2423,2400,126554,513,3825,500
4620240.00,CT,Montréal,0.295702020187825,2962,1374,1370,118814,436,2465,310
4620241.00,CT,Montréal,0.208065698591352,2910,1303,1300,125507,474,2380,190
4620242.00,CT,Montréal,0.37027475667882,6410,2944,2935,137803,495,5440,430
4620243.00,CT,Montréal,0.252027496123314,4116,1747,1735,150343,484,3290,330
4620244.00,CT,Montréal,0.177588548088551,2213,1059,1050,139872,491,1845,225
4620245.00,CT,Montréal,0.215827912519693,2667,1405,1390,133912,472,2300,410
4620247.00,CT,Montréal,0.196774813709497,2321,1157,1145,105591,483,1965,425
4620249.00,CT,Montréal,0.528332594452858,4347,2074,2065,140155,442,3745,450
4620250.00,CT,Montréal,0.448509078077853,3855,1773,1770,122071,486,3310,270
4620251.01,CT,Montréal,0.459324114047289,3404,1475,1470,131462,502,2820,195
4620251.02,CT,Montréal,0.250569075421631,2610,1131,1130,144253,481,2100,105
4620252.00,CT,Montréal,0.32956085303092,4853,2152,2150,118024,463,4010,175
