GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620361.00,CT,Montréal,0.11256,1419,833,671,180,445
4620362.00,CT,Montréal,0.5246,2366,896,834,620,235
4620363.00,CT,Montréal,0.3712,4936,2308,2075,880,1195
4620364.00,CT,Montréal,0.23408,3112,1059,962,360,590
4620365.00,CT,Montréal,0.24807,3080,1370,1267,685,595
4620366.00,CT,Montréal,0.35442,2570,1068,1018,685,380
4620367.00,CT,Montréal,0.54769,4548,1856,1722,985,690
4620370.00,CT,Hampstead,1.79526,6973,2623,2473,1655,820
4620380.00,CT,Côte-Saint-Luc,0.76527,4060,1877,1802,685,1135
4620381.00,CT,Côte-Saint-Luc,0.5886,6290,2736,2474,630,1850
4620382.01,CT,Côte-Saint-Luc,0.58116,3873,1558,1449,1000,435
4620382.02,CT,Côte-Saint-Luc,1.5619,4445,1606,1475,1125,355
4620383.01,CT,Côte-Saint-Luc,1.72545,3232,1126,1047,680,370
4620383.02,CT,Côte-Saint-Luc,1.50642,8002,4008,3844,2060,1790
4620385.00,CT,Côte-Saint-Luc,0.03712,1517,1001,949,65,885
4620390.00,CT,Montréal,1.02632,1198,690,617,230,390
4620391.00,CT,Montréal,0.31702,1656,955,834,235,590
4620392.00,CT,Montréal,0.43794,1522,824,738,270,455
4620393.00,CT,Montréal,1.0424,6874,3379,3193,1505,1695
4620394.00,CT,Montréal,1.34442,3689,2024,1871,675,1210
4620395.01,CT,Montréal,7.64537,2731,1227,1090,55,1030
4620395.02,CT,Montréal,0.68838,6451,3078,2802,950,1855
4620395.03,CT,Montréal,0.61432,4590,2480,2346,1125,1235
4620396.00,CT,Montréal,1.4642,6501,2701,2539,1410,1130
4620397.00,CT,Montréal,1.18634,4038,1549,1517,1300,210
4620400.00,CT,Mont-Royal,1.37872,5232,2101,1980,1380,585
