GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1627: Median household income $
4620390.00,CT,Lachine,1.06170267997572,1353,600,600,27251
4620391.00,CT,Lachine,0.276815361192077,1856,815,805,23753
4620392.00,CT,Lachine,0.403412019009467,1336,587,595,25928
4620393.00,CT,Lachine,1.05181848517087,5124,2220,2215,29116
4620394.00,CT,Lachine,1.34609895746408,3667,1638,1635,27266
4620395.01,CT,Lachine,7.58942909223592,2544,1086,1085,14486
4620395.02,CT,Lachine,0.67368094552476,5774,2474,2465,28656
4620395.03,CT,Lachine,0.594156382492065,4160,2075,2060,36345
4620396.00,CT,Lachine,1.47992596903008,5522,2442,2435,39817
4620397.00,CT,Lachine,1.18648843001056,3835,1410,1410,56681
4620400.00,CT,Mont-Royal,1.37734020633613,4251,1600,1585,61894
4620401.00,CT,Mont-Royal,0.962809485287547,2993,1269,1255,62661
4620402.00,CT,Mont-Royal,2.54138517725456,1141,464,460,46367
4620403.00,CT,Mont-Royal,1.36298351362823,4964,1833,1815,70598
4620404.00,CT,Mont-Royal,1.51513409616236,4933,1733,1725,76398
4620410.01,CT,Saint-Laurent,0.846585895279437,5034,2033,2020,39605
4620410.02,CT,Saint-Laurent,0.790403990023851,4838,2376,2350,34647
4620410.03,CT,Saint-Laurent,2.15816195372832,1701,554,555,36043
4620412.00,CT,Saint-Laurent,1.49366396434307,5140,1881,1875,45469
4620413.00,CT,Saint-Laurent,1.63981881605196,7106,2494,2490,45182
4620415.01,CT,Saint-Laurent,28.7448291272378,1165,464,455,62259
4620415.02,CT,Saint-Laurent,0.746729559266329,8739,3897,3880,32681
4620416.00,CT,Saint-Laurent,1.90100280548143,7635,2514,2510,44154
4620417.01,CT,Saint-Laurent,0.63931792261076,3849,1415,1410,34001
4620417.02,CT,Saint-Laurent,0.377555563120693,2547,753,755,21306
4620418.00,CT,Saint-Laurent,1.2829826617015,5192,2191,2160,32365
4620419.00,CT,Saint-Laurent,0.375604461437047,4542,1679,1675,22438
4620420.00,CT,Saint-Laurent,0.801722037483335,4485,1650,1645,41838
