GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_4305: Total - Owner households in non-farm, non-reserve private dwellings","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings"
4620730.01,CT,0730.01,5.762,13552,4971,4914,4430,485
4620730.02,CT,0730.02,2.9692,6245,2671,2589,2265,330
4620731.00,CT,0731.00,4.5923,6281,2673,2590,1985,605
4620732.01,CT,0732.01,41.2187,7031,2819,2743,2090,600
4620732.03,CT,0732.03,11.8635,0,0,0,,
4620732.04,CT,0732.04,56.9904,3968,1683,1616,1295,290
4620733.01,CT,0733.01,230.7188,4356,1805,1729,1135,400
4620733.02,CT,0733.02,42.8875,1784,876,778,560,185
4620734.03,CT,0734.03,5.2846,6377,2348,2310,1805,565
4620734.04,CT,0734.04,23.859,3946,1747,1708,1175,560
4620734.05,CT,0734.05,32.2255,11018,4474,4339,3195,1105
4620734.06,CT,0734.06,2.1406,5093,2046,1985,1395,605
4620734.07,CT,0734.07,128.5713,14150,5943,5794,3330,2410
4620735.01,CT,0735.01,52.4056,7054,3255,3141,1755,1365
4620735.02,CT,0735.02,8.8892,9114,3896,3789,2400,1385
4620740.01,CT,0740.01,90.0416,2283,1615,1124,1010,120
