GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_737: Employed,v_CA01_738: Unemployed
4620290.04,CT,Montréal,2.8315,6369,2149,2110,3070,285
4620290.05,CT,Montréal,2.0959,5943,2612,2580,1950,120
4620290.06,CT,Montréal,0.9233,6260,2022,2005,3020,280
4620290.07,CT,Montréal,0.5907,3275,1168,1150,1540,115
4620290.08,CT,Montréal,1.0994,4361,1474,1455,2110,165
4620290.09,CT,Montréal,0.9735,5238,1732,1710,2460,200
4620291.01,CT,Montréal,0.9752,3117,1001,980,1430,145
4620291.02,CT,Montréal,10.148,6404,1932,1900,3070,215
4620300.00,CT,Verdun,0.5199,2306,1254,1150,855,180
4620301.00,CT,Verdun,0.4181,4709,2622,2365,2300,230
4620302.00,CT,Verdun,0.2066,2829,1572,1420,1185,145
4620303.00,CT,Verdun,0.2708,2047,1178,1035,835,150
4620304.00,CT,Verdun,0.2849,2679,1590,1445,960,145
4620305.00,CT,Verdun,0.3523,3715,2145,1945,1755,125
4620306.00,CT,Verdun,0.2241,3062,1630,1480,1190,145
4620307.00,CT,Verdun,0.1794,3405,1712,1550,1460,160
4620308.00,CT,Verdun,0.1776,2692,1422,1275,1200,160
4620309.00,CT,Verdun,0.2098,1256,622,595,615,45
4620310.00,CT,Verdun,0.4674,3344,1708,1585,1600,75
4620311.00,CT,Verdun,0.3505,3891,2103,1880,1525,155
4620312.00,CT,Verdun,0.3083,3215,1706,1620,1525,115
4620313.00,CT,Verdun,0.4107,3307,1564,1495,1500,150
4620314.00,CT,Verdun,0.2762,2567,1254,1205,1235,75
4620315.00,CT,Verdun,0.8286,160,0,0,,
4620316.00,CT,Verdun,0.6031,2224,851,835,1095,65
4620317.01,CT,Verdun,2.4798,7488,4200,3825,4475,210
4620317.02,CT,Verdun,1.3157,5668,3197,2935,3120,135
4620320.00,CT,LaSalle,0.699,4591,2212,2145,2175,165
4620321.00,CT,LaSalle,0.9756,3004,1441,1395,1410,85
4620322.02,CT,LaSalle,0.8043,3789,1708,1665,1850,120
4620322.03,CT,LaSalle,0.7232,4704,2449,2400,1885,215
4620322.04,CT,LaSalle,0.4593,3048,1437,1410,1395,95
4620323.00,CT,LaSalle,0.6808,3149,1372,1335,1460,95
4620324.01,CT,LaSalle,0.7046,4543,2046,1980,2175,230
4620324.02,CT,LaSalle,0.663,2935,1196,1170,1380,110
4620325.01,CT,LaSalle,0.3902,3845,1523,1455,1785,135
4620325.02,CT,LaSalle,1.0005,6771,3014,2900,2885,405
4620325.03,CT,LaSalle,0.4777,3612,1497,1450,1715,150
4620325.04,CT,LaSalle,1.7289,8249,3821,3635,4495,305
4620326.01,CT,LaSalle,2.5868,2956,1172,1165,1545,155
4620326.02,CT,LaSalle,1.0911,3602,1683,1645,1660,220
4620326.03,CT,LaSalle,1.3415,4981,1957,1915,2355,270
4620327.00,CT,LaSalle,1.0984,4887,2193,2135,2475,190
4620328.00,CT,LaSalle,0.4478,1682,859,710,575,100
4620329.00,CT,LaSalle,0.6833,3635,1735,1685,1925,130
4620330.00,CT,Lachine,2.0659,4604,2265,2100,2070,155
4620340.00,CT,Montréal-Ouest,1.4072,5172,1901,1855,2680,130
4620350.00,CT,Westmount,0.5555,2275,1341,1170,1185,75
4620351.00,CT,Westmount,0.4603,5068,3087,2745,2320,150
4620352.00,CT,Westmount,0.4867,2681,1314,1160,1290,75
4620353.00,CT,Westmount,0.407,2987,1231,1165,1525,55
4620354.00,CT,Westmount,0.814,3231,1041,1005,1595,65
4620355.00,CT,Westmount,0.3073,1437,636,595,715,50
4620356.00,CT,Westmount,0.996,2048,683,615,1040,30
4620360.00,CT,Outremont,1.4336,2242,650,615,1045,20
4620361.00,CT,Outremont,0.1261,1519,830,795,795,70
4620362.00,CT,Outremont,0.5335,2567,904,870,1230,80
4620363.00,CT,Outremont,0.373,4671,2050,1985,2065,90
4620364.00,CT,Outremont,0.2379,2553,1036,1010,1335,110
4620365.00,CT,Outremont,0.2488,2763,1288,1260,1505,125
4620366.00,CT,Outremont,0.3435,2579,1085,1070,1465,40
4620367.00,CT,Outremont,0.5666,4039,2044,1960,2035,150
4620370.00,CT,Hampstead,1.7901,6974,2632,2575,3570,190
4620380.00,CT,Côte-Saint-Luc,0.7617,4037,1869,1830,1820,170
4620381.00,CT,Côte-Saint-Luc,0.5887,5635,2659,2530,1995,290
4620382.01,CT,Côte-Saint-Luc,0.5785,3637,1673,1645,1375,90
4620382.02,CT,Côte-Saint-Luc,1.5627,4384,1578,1555,2010,185
4620383.01,CT,Côte-Saint-Luc,1.7278,3427,1094,1070,1205,95
4620383.02,CT,Côte-Saint-Luc,1.5015,6872,3383,3295,2595,190
4620385.00,CT,Côte-Saint-Luc,0.0382,1442,1000,970,515,35
4620390.00,CT,Lachine,1.0637,1274,670,630,555,90
4620391.00,CT,Lachine,0.3284,1826,890,845,680,65
4620392.00,CT,Lachine,0.4578,1284,614,590,615,60
4620393.00,CT,Lachine,1.0425,5104,2466,2380,2180,185
4620394.00,CT,Lachine,1.3501,3611,1787,1705,1785,140
4620395.01,CT,Lachine,7.6187,2624,1172,1130,810,130
4620395.02,CT,Lachine,0.6891,6270,2836,2745,2925,265
4620395.03,CT,Lachine,0.5992,4108,2236,2170,2150,170
4620396.00,CT,Lachine,1.4744,5673,2650,2570,2960,220
4620397.00,CT,Lachine,1.1821,3844,1432,1425,2000,110
4620400.00,CT,Mont-Royal,1.3817,4557,1770,1725,2275,120
4620401.00,CT,Mont-Royal,0.9707,2998,1306,1270,1460,65
4620402.00,CT,Mont-Royal,2.5432,1183,467,460,525,35
4620403.00,CT,Mont-Royal,1.3285,4999,1917,1860,2395,130
4620404.00,CT,Mont-Royal,1.4373,4945,1807,1750,2200,65
4620410.01,CT,Saint-Laurent,0.8603,5045,2117,2035,2250,180
4620410.02,CT,Saint-Laurent,0.7695,4612,2542,2420,1565,100
4620410.03,CT,Saint-Laurent,2.1844,1761,608,590,765,60
4620412.00,CT,Saint-Laurent,1.4641,5153,2027,1925,2415,205
4620413.00,CT,Saint-Laurent,1.5819,7435,2737,2620,3560,260
4620415.01,CT,Saint-Laurent,28.8806,3578,1492,1445,2245,90
4620415.03,CT,Saint-Laurent,0.2749,3983,1981,1885,1780,160
4620415.04,CT,Saint-Laurent,0.4726,4444,2124,2035,1930,250
4620416.01,CT,Saint-Laurent,0.8481,4262,1416,1375,2080,160
4620416.02,CT,Saint-Laurent,1.0618,2985,1167,1115,1485,115
4620417.01,CT,Saint-Laurent,0.6701,3600,1528,1480,1495,260
4620417.02,CT,Saint-Laurent,0.3771,3127,951,895,1165,170
4620418.00,CT,Saint-Laurent,1.295,5000,2266,2130,2415,225
4620419.00,CT,Saint-Laurent,0.379,4715,1816,1730,1720,330
4620420.00,CT,Saint-Laurent,0.8256,4670,1784,1715,2090,160
4620421.01,CT,Saint-Laurent,0.3892,6974,2986,2845,2380,470
4620421.02,CT,Saint-Laurent,0.5509,6047,2663,2515,2265,380
4620430.00,CT,Dorval,1.9817,5449,2759,2670,2790,150
4620431.00,CT,Dorval,2.2097,5466,2459,2375,2610,145
4620432.00,CT,Dorval,1.3071,3267,1258,1235,1685,45
4620433.00,CT,Saint-Laurent,15.4188,3524,1381,1360,1755,95
4620440.00,CT,L'Île-Dorval,0.1803,0,58,0,x,x
4620450.00,CT,Pointe-Claire,3.7652,7082,3131,3045,3130,170
4620451.00,CT,Pointe-Claire,3.325,6559,2531,2475,3255,180
