GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620677.08,CT,Repentigny,2.4884,5487,1914,1880,3620
4620681.00,CT,Saint-Sulpice,36.3606,3343,1266,1200,2325
4620682.02,CT,Le Gardeur,12.1421,2733,1059,1035,1980
4620682.03,CT,Le Gardeur,21.654,4315,1565,1510,2830
4620682.04,CT,Le Gardeur,1.0868,3805,1322,1310,2570
4620682.05,CT,Le Gardeur,0.774,3459,1141,1135,2355
4620682.06,CT,Le Gardeur,1.6288,3356,1079,1065,2210
4620683.00,CT,Charlemagne,2.1641,5662,2420,2375,4335
4620684.03,CT,Lachenaie,17.1407,4554,1473,1450,2960
4620684.04,CT,Lachenaie,13.3796,5876,2101,2045,4045
4620684.05,CT,Lachenaie,3.93,5035,1687,1655,3415
4620684.06,CT,Lachenaie,7.7093,6244,2257,2225,4380
4620685.02,CT,Mascouche,56.4245,3771,1364,1330,2670
4620685.03,CT,Mascouche,7.794,4044,1479,1465,2810
4620685.04,CT,Mascouche,0.8449,3526,1102,1095,2305
4620685.05,CT,Mascouche,2.7438,3700,1278,1255,2470
4620685.06,CT,Mascouche,6.9661,3961,1262,1250,2610
4620686.01,CT,Mascouche,25.9091,3545,1256,1225,2515
4620686.02,CT,Mascouche,3.9593,3546,1189,1165,2390
4620686.03,CT,Mascouche,2.0448,3463,1172,1155,2470
4620687.01,CT,Terrebonne,3.1228,4051,1407,1385,2850
4620687.02,CT,Terrebonne,42.4473,6766,2357,2280,4595
4620687.03,CT,Terrebonne,15.734,3740,1394,1345,2665
4620687.04,CT,Terrebonne,1.7595,5340,1828,1800,3660
4620687.06,CT,Terrebonne,2.8124,4485,1701,1665,3020
4620687.07,CT,Terrebonne,1.8756,6262,1993,1970,4190
4620688.01,CT,Sainte-Anne-des-Plaines,3.7082,9885,3403,3305,6455
4620688.02,CT,Sainte-Anne-des-Plaines,89.125,3023,879,840,1730
4620689.01,CT,La Plaine,2.8335,4146,1358,1340,2785
4620689.02,CT,La Plaine,1.5993,3188,1032,1010,2020
4620689.03,CT,La Plaine,3.8187,4169,1388,1345,2655
4620689.04,CT,La Plaine,31.958,4170,1408,1370,2645
4620690.00,CT,Saint-Antoine-de-Lavaltrie,65.3274,5196,1895,1815,3595
4620691.00,CT,Lavaltrie,2.81,5967,2109,2065,3895
4620692.00,CT,L'Assomption,64.0091,5884,2034,2000,4030
4620693.00,CT,L'Assomption,2.0144,5344,2225,2175,3850
4620694.00,CT,L'Assomption,32.9679,4387,1537,1490,2975
4620700.01,CT,Terrebonne,1.316,4871,2234,2185,3675
4620700.03,CT,Terrebonne,1.5686,2967,1234,1205,2305
4620700.04,CT,Terrebonne,1.5498,4667,2153,2090,3590
4620701.00,CT,Bois-des-Filion,4.081,7712,2891,2810,5380
4620702.01,CT,Lorraine,2.1304,2446,821,815,1730
4620702.02,CT,Lorraine,3.8947,7030,2235,2195,4650
4620703.02,CT,Rosemère,4.4477,3847,1486,1415,2825
4620703.03,CT,Rosemère,3.0399,3982,1383,1340,2635
4620703.04,CT,Rosemère,3.2454,5562,1790,1740,3645
4620704.01,CT,Boisbriand,1.8077,4983,2229,2170,3710
4620704.03,CT,Boisbriand,16.9811,8301,2647,2590,4940
4620704.04,CT,Boisbriand,1.7716,5137,1666,1645,3380
4620704.05,CT,Boisbriand,4.9345,6503,2250,2200,4285
4620704.06,CT,Boisbriand,2.3758,1805,703,670,1325
4620705.01,CT,Sainte-Thérèse,1.6102,3780,1234,1225,2640
4620705.02,CT,Sainte-Thérèse,1.9557,4783,2245,2180,3800
4620706.00,CT,Sainte-Thérèse,1.3621,3150,1672,1615,2550
4620707.00,CT,Sainte-Thérèse,1.8586,4455,2207,2125,3445
4620708.01,CT,Sainte-Thérèse,1.1921,4838,2184,2090,3585
4620708.02,CT,Sainte-Thérèse,1.6082,3263,1337,1300,2390
4620709.01,CT,Blainville,3.7266,5040,1797,1725,3495
