GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA01_1670: Owner households in non-farm, non-reserve private dwellings","v_CA01_1666: Tenant households in non-farm, non-reserve private dwellings"
4620363.00,CT,Outremont,0.373,4671,2050,1985,885,1100
4620364.00,CT,Outremont,0.2379,2553,1036,1010,350,655
4620365.00,CT,Outremont,0.2488,2763,1288,1260,650,605
4620366.00,CT,Outremont,0.3435,2579,1085,1070,625,445
4620367.00,CT,Outremont,0.5666,4039,2044,1960,900,1060
4620370.00,CT,Hampstead,1.7901,6974,2632,2575,1665,910
4620380.00,CT,Côte-Saint-Luc,0.7617,4037,1869,1830,735,1080
4620381.00,CT,Côte-Saint-Luc,0.5887,5635,2659,2530,495,2030
4620382.01,CT,Côte-Saint-Luc,0.5785,3637,1673,1645,1005,640
4620382.02,CT,Côte-Saint-Luc,1.5627,4384,1578,1555,1175,375
4620383.01,CT,Côte-Saint-Luc,1.7278,3427,1094,1070,705,360
4620383.02,CT,Côte-Saint-Luc,1.5015,6872,3383,3295,1675,1620
4620385.00,CT,Côte-Saint-Luc,0.0382,1442,1000,970,60,915
4620390.00,CT,Lachine,1.0637,1274,670,630,190,440
4620391.00,CT,Lachine,0.3284,1826,890,845,215,625
4620392.00,CT,Lachine,0.4578,1284,614,590,185,400
4620393.00,CT,Lachine,1.0425,5104,2466,2380,890,1485
4620394.00,CT,Lachine,1.3501,3611,1787,1705,555,1150
4620395.01,CT,Lachine,7.6187,2624,1172,1130,115,1020
4620395.02,CT,Lachine,0.6891,6270,2836,2745,720,2005
4620395.03,CT,Lachine,0.5992,4108,2236,2170,905,1265
4620396.00,CT,Lachine,1.4744,5673,2650,2570,1325,1245
4620397.00,CT,Lachine,1.1821,3844,1432,1425,1255,170
4620400.00,CT,Mont-Royal,1.3817,4557,1770,1725,1140,580
4620401.00,CT,Mont-Royal,0.9707,2998,1306,1270,725,545
4620402.00,CT,Mont-Royal,2.5432,1183,467,460,250,210
4620403.00,CT,Mont-Royal,1.3285,4999,1917,1860,1140,720
4620404.00,CT,Mont-Royal,1.4373,4945,1807,1750,1140,615
4620410.01,CT,Saint-Laurent,0.8603,5045,2117,2035,1030,1000
4620410.02,CT,Saint-Laurent,0.7695,4612,2542,2420,1205,1205
4620410.03,CT,Saint-Laurent,2.1844,1761,608,590,355,235
4620412.00,CT,Saint-Laurent,1.4641,5153,2027,1925,1045,865
4620413.00,CT,Saint-Laurent,1.5819,7435,2737,2620,1540,1075
4620415.01,CT,Saint-Laurent,28.8806,3578,1492,1445,1200,245
4620415.03,CT,Saint-Laurent,0.2749,3983,1981,1885,570,1320
4620415.04,CT,Saint-Laurent,0.4726,4444,2124,2035,465,1565
4620416.01,CT,Saint-Laurent,0.8481,4262,1416,1375,1250,130
4620416.02,CT,Saint-Laurent,1.0618,2985,1167,1115,490,630
4620417.01,CT,Saint-Laurent,0.6701,3600,1528,1480,785,690
4620417.02,CT,Saint-Laurent,0.3771,3127,951,895,80,810
4620418.00,CT,Saint-Laurent,1.295,5000,2266,2130,715,1415
4620419.00,CT,Saint-Laurent,0.379,4715,1816,1730,310,1380
4620420.00,CT,Saint-Laurent,0.8256,4670,1784,1715,1090,625
4620421.01,CT,Saint-Laurent,0.3892,6974,2986,2845,30,2785
4620421.02,CT,Saint-Laurent,0.5509,6047,2663,2515,345,2160
4620430.00,CT,Dorval,1.9817,5449,2759,2670,985,1680
4620431.00,CT,Dorval,2.2097,5466,2459,2375,1180,1190
4620432.00,CT,Dorval,1.3071,3267,1258,1235,1120,115
4620433.00,CT,Saint-Laurent,15.4188,3524,1381,1360,1020,335
